"Exports & Imports by NAICS Commodities"
"Current date: 11/21/2016 2:44 PM (Eastern Standard Time)"
"Country: China"
"District: All Districts Total"
"Commodity","Time","Total Exports Value ($US)","Customs Import Value (Gen) ($US)","Balance ($US)",
"All Commodities","2002","22,127,790,292","125,192,465,050","-103,064,674,758"
"All Commodities","2003","28,367,942,859","152,436,096,898","-124,068,154,039"
"All Commodities","2004","34,427,772,456","196,682,033,935","-162,254,261,479"
"All Commodities","2005","41,192,010,123","243,470,104,795","-202,278,094,672"
"All Commodities","2006","53,673,008,343","287,774,352,612","-234,101,344,269"
"All Commodities","2007","62,936,891,576","321,442,866,934","-258,505,975,358"
"All Commodities","2008","69,732,837,543","337,772,627,823","-268,039,790,280"
"All Commodities","2009","69,496,678,611","296,373,883,488","-226,877,204,877"
"All Commodities","2010","91,911,080,944","364,952,633,595","-273,041,552,651"
"All Commodities","2011","104,121,523,635","399,371,232,631","-295,249,708,996"
"All Commodities","2012","110,516,615,672","425,619,082,637","-315,102,466,965"
"All Commodities","2013","121,746,188,637","440,430,019,592","-318,683,830,955"
"All Commodities","2014","123,620,711,012","468,483,943,748","-344,863,232,736"
"All Commodities","2015","116,071,769,560","483,244,701,922","-367,172,932,362"
"All Commodities","2016 through September","79,331,860,551","337,003,696,295","-257,671,835,744"
"111 Agricultural Products","2002","1,237,765,162","146,556,924","1,091,208,238"
"111 Agricultural Products","2003","3,762,850,737","168,877,508","3,593,973,229"
"111 Agricultural Products","2004","4,363,594,779","221,275,972","4,142,318,807"
"111 Agricultural Products","2005","3,896,941,173","260,148,722","3,636,792,451"
"111 Agricultural Products","2006","4,854,623,014","302,799,687","4,551,823,327"
"111 Agricultural Products","2007","5,805,640,782","361,677,850","5,443,962,932"
"111 Agricultural Products","2008","9,185,740,423","397,203,608","8,788,536,815"
"111 Agricultural Products","2009","10,575,818,221","384,699,081","10,191,119,140"
"111 Agricultural Products","2010","13,819,065,333","467,682,614","13,351,382,719"
"111 Agricultural Products","2011","14,700,550,316","485,045,854","14,215,504,462"
"111 Agricultural Products","2012","20,715,384,915","634,860,522","20,080,524,393"
"111 Agricultural Products","2013","18,901,908,335","673,272,205","18,228,636,130"
"111 Agricultural Products","2014","18,291,448,862","629,320,366","17,662,128,496"
"111 Agricultural Products","2015","14,899,472,436","668,989,495","14,230,482,941"
"111 Agricultural Products","2016 through September","7,482,985,841","456,654,231","7,026,331,610"
"112 Livestock & Livestock Products","2002","19,851,464","22,666,301","-2,814,837"
"112 Livestock & Livestock Products","2003","38,050,055","47,178,903","-9,128,848"
"112 Livestock & Livestock Products","2004","45,803,584","47,145,573","-1,341,989"
"112 Livestock & Livestock Products","2005","66,672,334","49,444,216","17,228,118"
"112 Livestock & Livestock Products","2006","69,860,001","58,370,057","11,489,944"
"112 Livestock & Livestock Products","2007","73,327,003","48,775,441","24,551,562"
"112 Livestock & Livestock Products","2008","169,685,182","52,317,131","117,368,051"
"112 Livestock & Livestock Products","2009","146,341,318","32,614,497","113,726,821"
"112 Livestock & Livestock Products","2010","207,760,516","37,151,146","170,609,370"
"112 Livestock & Livestock Products","2011","216,658,762","38,643,272","178,015,490"
"112 Livestock & Livestock Products","2012","229,485,016","24,871,079","204,613,937"
"112 Livestock & Livestock Products","2013","292,649,576","28,734,742","263,914,834"
"112 Livestock & Livestock Products","2014","148,296,799","43,449,433","104,847,366"
"112 Livestock & Livestock Products","2015","198,527,996","29,802,828","168,725,168"
"112 Livestock & Livestock Products","2016 through September","126,069,213","37,756,233","88,312,980"
"113 Forestry Products, Nesoi","2002","77,994,934","50,982,205","27,012,729"
"113 Forestry Products, Nesoi","2003","116,424,339","58,493,558","57,930,781"
"113 Forestry Products, Nesoi","2004","131,472,080","66,725,962","64,746,118"
"113 Forestry Products, Nesoi","2005","174,600,818","75,995,456","98,605,362"
"113 Forestry Products, Nesoi","2006","193,957,671","91,559,777","102,397,894"
"113 Forestry Products, Nesoi","2007","252,058,715","103,018,999","149,039,716"
"113 Forestry Products, Nesoi","2008","239,498,035","104,435,550","135,062,485"
"113 Forestry Products, Nesoi","2009","261,209,411","103,775,496","157,433,915"
"113 Forestry Products, Nesoi","2010","673,917,814","121,284,479","552,633,335"
"113 Forestry Products, Nesoi","2011","1,113,118,896","158,327,880","954,791,016"
"113 Forestry Products, Nesoi","2012","834,404,721","168,195,339","666,209,382"
"113 Forestry Products, Nesoi","2013","1,189,066,848","204,413,320","984,653,528"
"113 Forestry Products, Nesoi","2014","1,269,846,296","175,423,514","1,094,422,782"
"113 Forestry Products, Nesoi","2015","895,675,210","236,557,939","659,117,271"
"113 Forestry Products, Nesoi","2016 through September","785,476,410","197,166,032","588,310,378"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2002","146,224,522","771,311,115","-625,086,593"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2003","208,814,986","1,014,042,224","-805,227,238"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2004","296,190,734","1,067,570,265","-771,379,531"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2005","388,531,589","1,238,640,521","-850,108,932"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2006","468,507,433","1,694,960,993","-1,226,453,560"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2007","563,651,897","1,737,342,774","-1,173,690,877"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2008","577,200,292","1,864,345,163","-1,287,144,871"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2009","614,465,055","1,733,967,837","-1,119,502,782"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2010","780,420,490","1,996,032,741","-1,215,612,251"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2011","1,196,907,012","2,223,116,603","-1,026,209,591"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2012","1,205,414,845","2,120,516,296","-915,101,451"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2013","1,179,078,348","2,138,704,724","-959,626,376"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2014","1,246,571,942","2,309,935,067","-1,063,363,125"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2015","1,100,974,083","2,060,213,373","-959,239,290"
"114 Fish, Fresh/chilled/frozen & Other Marine Products","2016 through September","819,811,024","1,465,350,290","-645,539,266"
"211 Oil & Gas","2002","1,112,604","181,949,601","-180,836,997"
"211 Oil & Gas","2003","38,068,724","110,633,940","-72,565,216"
"211 Oil & Gas","2004","76,004,263","193,734,383","-117,730,120"
"211 Oil & Gas","2005","41,734,286","447,112,673","-405,378,387"
"211 Oil & Gas","2006","11,826,179","473,942,226","-462,116,047"
"211 Oil & Gas","2007","120,309","142,245,577","-142,125,268"
"211 Oil & Gas","2008","2,188,557","500,230,164","-498,041,607"
"211 Oil & Gas","2009","28,865,480","111,028,359","-82,162,879"
"211 Oil & Gas","2010","24,392,272","127,302,537","-102,910,265"
"211 Oil & Gas","2011","68,553,757","62,058,807","6,494,950"
"211 Oil & Gas","2012","79,793,987","81,224,872","-1,430,885"
"211 Oil & Gas","2013","174,136,849","52,071,563","122,065,286"
